customer_id,gender,date,value
1000,0,1/1/17 0:11,198.5
1001,0,1/1/17 0:29,338
1002,1,1/1/17 1:30,733
1003,1,1/1/17 1:34,772
1004,0,1/1/17 3:11,508
1005,1,1/1/17 10:08,338
1006,1,1/1/17 15:42,1526.43
1007,0,1/1/17 15:59,168
1008,0,1/1/17 18:01,207.99
1009,1,1/1/17 19:27,283
1010,1,1/1/17 19:41,1018
1011,1,1/1/17 22:04,596
1012,1,1/1/17 22:08,151
1013,0,1/1/17 23:51,78
1014,1,1/2/17 0:28,98.5
1015,0,1/2/17 1:20,255
1016,1,1/2/17 1:24,311.39
1017,0,1/2/17 1:42,1000
1018,0,1/2/17 1:52,274.6
1017,0,1/2/17 2:08,186
1019,0,1/2/17 2:17,350.2
1020,0,1/2/17 2:45,456
1021,1,1/2/17 3:18,421.56
1022,0,1/2/17 3:36,304.3
1023,0,1/2/17 4:07,10
1024,1,1/2/17 5:19,747.5
1025,0,1/2/17 5:19,301.6
1026,0,1/2/17 14:52,316.89
1027,0,1/2/17 15:49,10
1028,0,1/2/17 16:41,161.5
1029,0,1/2/17 17:01,166
1030,0,1/2/17 17:37,89
1031,0,1/2/17 17:57,226
1032,1,1/2/17 18:23,434
1033,0,1/2/17 18:54,111.49
1034,1,1/2/17 19:33,89
1035,0,1/2/17 20:01,10
1036,0,1/2/17 20:36,447.85
1037,0,1/2/17 21:06,499
1038,1,1/2/17 21:29,930
1039,0,1/2/17 22:49,295.36
1040,0,1/2/17 22:54,247
1041,0,1/2/17 23:25,233.2
1042,0,1/2/17 23:57,486
1043,1,1/3/17 1:02,229.74
1044,1,1/3/17 1:47,302.89
1045,0,1/3/17 2:13,432
1046,0,1/3/17 3:54,10
1047,1,1/3/17 5:22,144
1048,0,1/3/17 11:24,612
1049,0,1/3/17 14:32,392
1050,1,1/3/17 15:27,169
1051,0,1/3/17 16:47,313
1052,1,1/3/17 17:29,307.14
1053,0,1/3/17 17:32,298
1054,1,1/3/17 19:01,308
1055,1,1/3/17 19:18,251.94
1008,0,1/3/17 19:23,121.98
1056,0,1/3/17 19:40,270.01
1057,1,1/3/17 19:45,184.08
1058,0,1/3/17 20:07,216
1059,1,1/3/17 20:38,200
1060,0,1/3/17 20:41,79
1061,1,1/3/17 21:06,254.22
1060,0,1/3/17 21:14,140.45
1062,0,1/3/17 21:29,146
1063,1,1/3/17 21:43,312
1064,1,1/3/17 21:49,144
1065,0,1/3/17 22:15,150
1066,1,1/3/17 22:17,89
1067,1,1/3/17 22:32,406.9
1068,0,1/3/17 22:53,298
1069,1,1/3/17 23:09,108
1070,0,1/3/17 23:52,338
1071,1,1/4/17 0:50,492
1072,0,1/4/17 1:07,150.25
1073,0,1/4/17 1:16,357.61
1074,1,1/4/17 2:28,258
1075,1,1/4/17 2:36,270.01
1076,0,1/4/17 2:47,166
1077,0,1/4/17 3:12,1188.5
1078,1,1/4/17 3:36,246.06
1079,0,1/4/17 3:44,1476
1080,0,1/4/17 3:47,10.86
1081,0,1/4/17 4:34,298
1082,0,1/4/17 5:32,0
1083,0,1/4/17 10:49,267.4
1084,1,1/4/17 12:02,863
1085,1,1/4/17 12:47,10
1086,1,1/4/17 13:56,0
1087,0,1/4/17 15:49,268
1088,0,1/4/17 16:20,50
1089,0,1/4/17 16:36,388
1090,0,1/4/17 19:15,98.2
1091,0,1/4/17 19:20,118
1092,0,1/4/17 19:39,346.5
1093,1,1/4/17 19:50,146
1094,1,1/4/17 20:59,280.9
1095,1,1/4/17 21:21,356
1096,0,1/4/17 21:56,629.2
1097,0,1/4/17 23:04,1928.93
1098,0,1/4/17 23:47,58
